flightid,callsign,receivetime,packettime,altitude_ft,altitude_m,vert_rate_ftmin,elapsed_secs,flight_phase,position_packet,info,raw,bearing,speed_mph,speed_kph,latitude,longitude,distance_from_launch_mi,distance_from_launch_km,temperature_f,temperature_c,temperature_k,pressure_pa,pressure_atm,airdensity_slugs,airdensity_kgm3,velocity_x_degs,velocity_y_degs,velocity_z_fts,velocity_z_ms,airflow,acceleration_fts2,velocity_mean_fts,acceleration_mean_fts2,velocity_std_fts,acceleration_std_fts2,velocity_norm_fts,acceleration_norm_fts2,velocity_curvefit_fts,acceleration_ms2,velocity_mean_ms,acceleration_mean_ms2,velocity_std_ms,acceleration_std_ms2,velocity_norm_ms,acceleration_norm_ms2,velocity_curvefit_ms,reynolds_transition
EOSS-313,KC0D-1,2021-08-01T07:19:46.851,2021-08-01T13:19:45.000,5622.0,1713.59,10.0,0.0,ascending,true,/131945h3916.69N/10329.71WO253/000!W83!/A=005622 358T8419P EOSS BALLOON,"KC0D-1>APZEOS,EOSS,qAO,N2XGL-12:/131945h3916.69N/10329.71WO253/000!W83!/A=005622 358T8419P EOSS BALLOON",253.0,0.0,0.0,39.278299999999994,-103.49521666666666,0.0,0.0,96.44,35.8,308.95,84190.0,0.83,0.00184199,0.94932465,1.67e-6,-5.6e-7,0.16666667,0.051,high Re,,0.166667,,,,,,3.762464,,0.051,,,,,,1.146886,""
EOSS-313,KC0D-1,2021-08-01T07:20:16.675,2021-08-01T13:20:15.000,5724.0,1744.68,204.0,30.0,ascending,true,/132015h3916.68N/10329.71WO221/012!W58!/A=005724 357T8392P EOSS BALLOON,"KC0D-1>APZEOS,EOSS,qAO,W9CN-9:/132015h3916.68N/10329.71WO221/012!W58!/A=005724 357T8392P EOSS BALLOON",221.0,14.0,22.5,39.278083333333335,-103.4953,0.02,0.03,96.26,35.7,308.85,83920.0,0.83,0.00183668,0.94658653,-2.78e-6,-7.22e-6,3.4,1.03633333,high Re,0.107778,1.783333,0.107778,2.286312,,0.707107,,5.430992,0.032844,0.543667,0.032844,0.696736,,0.707106,,1.655453,""
EOSS-313,K0SCC-14,2021-08-01T07:20:45.109,2021-08-01T13:20:37.000,6067.0,1849.22,471.7,52.0,ascending,true,/132037h3916.68N/10329.77WO316/006eEOSS.org Balloon/A=006067!W32!,"K0SCC-14>APTT4,EOSSD,EOSSD,qAO,W9CN-9:/132037h3916.68N/10329.77WO316/006eEOSS.org Balloon/A=006067!W32!",316.0,7.0,11.3,39.27805,-103.4962,0.06,0.1,,,,,,,,-0.00001753,-2.59e-6,7.86206897,2.39637931,high Re,0.076932,3.809579,0.092355,3.864016,0.021811,1.048777,-0.70712,10.265238,0.023449,1.161238,0.028146,1.177668,0.006643,1.048803,-0.70706,3.128831,""
EOSS-313,KC0D-1,2021-08-01T07:20:46.870,2021-08-01T13:20:45.000,6309.0,1922.98,1170.0,60.0,ascending,true,/132045h3916.68N/10329.79WO285/013!W60!/A=006309 359T8210P EOSS BALLOON,"KC0D-1>APZEOS,EOSS,qAO,N2XGL-12:/132045h3916.68N/10329.79WO285/013!W60!/A=006309 359T8210P EOSS BALLOON",285.0,15.0,24.1,39.2781,-103.4965,0.07,0.11,96.62,35.9,309.05,82100.0,0.81,0.00179569,0.92545831,-0.00004,5.6e-7,19.5,5.94333333,high Re,0.387931,7.732184,0.19088,8.455831,0.171346,1.391681,1.150018,13.033696,0.118232,2.356761,0.058175,2.577152,0.052223,1.391681,1.150011,3.972641,""
EOSS-313,K0SCC-14,2021-08-01T07:21:20.394,2021-08-01T13:21:06.000,6727.0,2050.39,1365.5,81.0,ascending,true,/132106h3916.69N/10329.85WO283/007eEOSS.org Balloon/A=006727!W32!,"K0SCC-14>APTT4,EOSSD,EOSSD,qAO,W9CN-9:/132106h3916.69N/10329.85WO283/007eEOSS.org Balloon/A=006727!W32!",283.0,8.0,12.9,39.278216666666665,-103.49753333333334,0.12,0.19,,,,,,,,-0.00004598,5.75e-6,22.75862069,6.93689655,high Re,0.112366,10.737471,0.171252,9.939043,0.145307,1.209488,-0.405252,16.763627,0.034261,3.272789,0.052196,3.029325,0.044284,1.209546,-0.405,5.109558,""
EOSS-313,KC0D-1,2021-08-01T07:21:16.726,2021-08-01T13:21:15.000,6956.0,2120.19,1294.0,90.0,ascending,true,/132115h3916.69N/10329.88WO256/014!W45!/A=006956 358T8019P EOSS BALLOON,"KC0D-1>APZEOS,EOSS,qAO,W9CN-9:/132115h3916.69N/10329.88WO256/014!W45!/A=006956 358T8019P EOSS BALLOON",256.0,16.0,25.7,39.27823333333333,-103.49808333333334,0.15,0.24,96.44,35.8,308.95,80190.0,0.79,0.00175448,0.90422074,-0.00005278,4.44e-6,21.56666667,6.57366667,high Re,-0.039732,12.542337,0.129055,9.928389,0.157285,0.908942,-1.073128,18.326277,-0.012108,3.822935,0.039336,3.026122,0.047936,0.908996,-1.073181,5.585857,""
EOSS-313,K0SCC-14,2021-08-01T07:21:56.385,2021-08-01T13:21:35.000,7294.0,2223.21,1173.1,110.0,ascending,true,/132135h3916.69N/10329.93WO225/007eEOSS.org Balloon/A=007294!W35!,"K0SCC-14>APTT4,EOSSD,EOSSD,qAO,W9CN-9:/132135h3916.69N/10329.93WO225/007eEOSS.org Balloon/A=007294!W35!",225.0,8.0,12.9,39.278216666666665,-103.49891666666667,0.2,0.32,,,,,,,,-0.0000477,0.0,19.55172414,5.95931034,high Re,-0.069481,13.543678,0.095966,9.442609,0.162358,0.63627,-1.019026,20.117362,-0.021185,4.128131,0.029249,2.878054,0.049485,0.636256,-1.019178,6.131767,""
EOSS-313,KC0D-1,2021-08-01T07:21:46.698,2021-08-01T13:21:45.000,7567.0,2306.42,1222.0,120.0,ascending,true,/132145h3916.68N/10329.96WO228/006!W72!/A=007567 359T7842P EOSS BALLOON,"KC0D-1>APZEOS,EOSS,qAO,W9CN-9:/132145h3916.68N/10329.96WO228/006!W72!/A=007567 359T7842P EOSS BALLOON",228.0,7.0,11.3,39.27811666666666,-103.49936666666667,0.22,0.35,96.62,35.9,309.05,78420.0,0.77,0.0017152,0.88397613,-0.00004278,-3.89e-6,20.36666667,6.20766667,high Re,0.027165,14.396552,0.086137,9.068873,0.150476,0.658308,-0.391903,21.184742,0.008279,4.388073,0.026253,2.764134,0.045863,0.658287,-0.391906,6.457105,""
EOSS-313,KC0D-1,2021-08-01T07:22:16.895,2021-08-01T13:22:15.000,8225.0,2506.98,1316.0,150.0,ascending,true,/132215h3916.66N/10330.05WO273/009!W94!/A=008225 357T7656P EOSS BALLOON,"KC0D-1>APZEOS,EOSS,qAO,N2XGL-12:/132215h3916.66N/10330.05WO273/009!W94!/A=008225 357T7656P EOSS BALLOON",273.0,10.0,16.1,39.277816666666666,-103.5009,0.31,0.5,96.26,35.7,308.85,76560.0,0.76,0.0016756,0.86356845,-0.00005111,-0.00001,21.93333333,6.68533333,high Re,0.052222,15.233972,0.081898,8.847336,0.139829,0.757218,-0.212231,22.69174,0.015922,4.643324,0.024962,2.69662,0.042618,0.757248,-0.212117,6.916445,""
EOSS-313,K0SCC-14,2021-08-01T07:22:39.438,2021-08-01T13:22:33.000,8538.0,2602.38,1286.9,168.0,ascending,true,/132233h3916.65N/10330.11WO278/011eEOSS.org Balloon/A=008538!W44!,"K0SCC-14>APTT4,EOSSD,EOSSD,qAO,W9CN-9:/132233h3916.65N/10330.11WO278/011eEOSS.org Balloon/A=008538!W44!",278.0,13.0,20.9,39.27756666666667,-103.5019,0.36,0.58,,,,,,,,-0.00005144,-0.00001121,21.44827586,6.53741379,high Re,-0.008363,15.855402,0.071869,8.569706,0.134214,0.652633,-0.597792,23.012953,-0.00255,4.832733,0.021905,2.612,0.040907,0.652634,-0.597819,7.01435,""
